model,dataset,model_kind,term,coefficient,std_error,t_stat,p_value,stars,nobs,r_squared
main_reduced_pooling,main,pooling,const,6.885335956244432,1.044209945374554,6.593823384601733,5.3330895255498945e-11,***,2243,0.2006050827139083
main_reduced_pooling,main,pooling,log_cc_total,0.23631883322653996,0.17490361512941657,1.3511374996547691,0.17678826784250923,,2243,0.2006050827139083
main_reduced_pooling,main,pooling,fertility,-0.02156737227946193,0.08540096497991417,-0.25254248923925454,0.8006450199737931,,2243,0.2006050827139083
main_reduced_pooling,main,pooling,lag_log_GDPpc2015,-0.731706234239478,0.09403564293253953,-7.781158414202565,1.0880185641326534e-14,***,2243,0.2006050827139083
main_reduced_pooling,main,pooling,gov_exp_reduced,-0.18574638362352727,0.019947965086392554,-9.311545454339782,0.0,***,2243,0.2006050827139083
main_reduced_pooling,main,pooling,inflation,-0.0049427051918957765,0.00822223559647634,-0.6011388428244485,0.5478085292649928,,2243,0.2006050827139083
main_reduced_pooling,main,pooling,investment,0.14492649479742914,0.011672083353477834,12.416506154768557,0.0,***,2243,0.2006050827139083
main_reduced_pooling,main,pooling,tot_growth,-0.0018447098522368782,0.025791843142059383,-0.07152299438533205,0.9429879295267547,,2243,0.2006050827139083
main_reduced_pooling,main,pooling,trade,0.011534590090333002,0.0017039787470536111,6.769210068070231,1.6493473253831326e-11,***,2243,0.2006050827139083
main_reduced_pooling,main,pooling,tot_growth_x_trade,0.0007543299470254066,0.00033791447667226457,2.2323102414964415,0.025693279628355103,**,2243,0.2006050827139083
main_reduced_between,main,between,const,4.667015550288663,1.8468917321919085,2.5269567614284596,0.012733336819678698,**,137,0.5038593322865161
main_reduced_between,main,between,log_cc_total,-0.29264591272337037,0.2954412003088624,-0.9905385992794176,0.3237944065424161,,137,0.5038593322865161
main_reduced_between,main,between,fertility,0.06990239592883284,0.14090539148736628,0.4960945439415663,0.6206851888841523,,137,0.5038593322865161
main_reduced_between,main,between,lag_log_GDPpc2015,-0.3396249063033433,0.1582127505142433,-2.1466342326990144,0.03372332817531842,**,137,0.5038593322865161
main_reduced_between,main,between,gov_exp_reduced,-0.16724122823166487,0.03411983870026022,-4.901583202103162,2.843996005585936e-06,***,137,0.5038593322865161
main_reduced_between,main,between,inflation,0.005140550476430346,0.027108247334175523,0.18963049927427897,0.8499014301705254,,137,0.5038593322865161
main_reduced_between,main,between,investment,0.10341460647683316,0.023362142782382352,4.426589095021679,2.0397791315573954e-05,***,137,0.5038593322865161
main_reduced_between,main,between,tot_growth,0.13413034153583075,0.15548885187675873,0.8626363878623475,0.38996345402575616,,137,0.5038593322865161
main_reduced_between,main,between,trade,0.007049325874796255,0.003201018891495089,2.2022131432981795,0.02945547812460214,**,137,0.5038593322865161
main_reduced_between,main,between,tot_growth_x_trade,0.0011978775743401145,0.001662296651447702,0.7206160063529439,0.47247012271253497,,137,0.5038593322865161
main_reduced_first_difference,main,first_difference,log_cc_total,1.8002844750536398,0.7130542103228511,2.5247512026308927,0.011659221051928848,**,1900,0.2591893670378532
main_reduced_first_difference,main,first_difference,fertility,-0.8020675519887376,0.5788328229352575,-1.3856635633091057,0.16601305680312572,,1900,0.2591893670378532
main_reduced_first_difference,main,first_difference,lag_log_GDPpc2015,-12.64906508997477,0.7380235474914382,-17.139107733038166,0.0,***,1900,0.2591893670378532
main_reduced_first_difference,main,first_difference,gov_exp_reduced,-0.6937190264104522,0.07256465894349907,-9.560012222349199,0.0,***,1900,0.2591893670378532
main_reduced_first_difference,main,first_difference,inflation,-0.04704672202166079,0.009648479140090425,-4.87607646122971,1.1726073481099775e-06,***,1900,0.2591893670378532
main_reduced_first_difference,main,first_difference,investment,0.20675766486470987,0.02454295161656356,8.42431945818502,0.0,***,1900,0.2591893670378532
main_reduced_first_difference,main,first_difference,tot_growth,0.03645447748074346,0.023950013725170846,1.5221067469548355,0.1281495304423308,,1900,0.2591893670378532
main_reduced_first_difference,main,first_difference,trade,0.07672726992759628,0.00912542034794586,8.408080614595212,0.0,***,1900,0.2591893670378532
main_reduced_first_difference,main,first_difference,tot_growth_x_trade,1.262641634912741e-05,0.00031242479564561385,0.04041425816742684,0.9677671294339572,,1900,0.2591893670378532
main_reduced_fixed,main,fixed,const,61.5157737392547,3.7335346185850717,16.476551049784515,0.0,***,2243,0.2546448731833407
main_reduced_fixed,main,fixed,log_cc_total,1.7406671070719983,0.4159953646519609,4.184342555182828,2.977895145517273e-05,***,2243,0.2546448731833407
main_reduced_fixed,main,fixed,fertility,-0.9695775558473141,0.26646683610761357,-3.6386425042992845,0.0002807038861765143,***,2243,0.2546448731833407
main_reduced_fixed,main,fixed,lag_log_GDPpc2015,-7.358152638471053,0.38914271695227587,-18.90862225586365,0.0,***,2243,0.2546448731833407
main_reduced_fixed,main,fixed,gov_exp_reduced,-0.2597398022184275,0.03977328026647329,-6.530509942308531,8.199507739448109e-11,***,2243,0.2546448731833407
main_reduced_fixed,main,fixed,inflation,-0.024891010631473438,0.008465771061234934,-2.9401941596850234,0.003315957664449698,***,2243,0.2546448731833407
main_reduced_fixed,main,fixed,investment,0.18028338199319469,0.015909876003917283,11.331539098658332,0.0,***,2243,0.2546448731833407
main_reduced_fixed,main,fixed,tot_growth,0.00178563367948906,0.02400459161623312,0.07438717175598707,0.9407094109167469,,2243,0.2546448731833407
main_reduced_fixed,main,fixed,trade,0.053157223073142586,0.005077970712906745,10.46820198037617,0.0,***,2243,0.2546448731833407
main_reduced_fixed,main,fixed,tot_growth_x_trade,0.0006342640534328426,0.0003182948336917559,1.9926935227829639,0.046424434056549835,**,2243,0.2546448731833407
main_reduced_random,main,random,const,9.98281089837006,1.517800395970776,6.5771566043011305,5.953482151710432e-11,***,2243,0.16002272045549826
main_reduced_random,main,random,log_cc_total,0.7484203900842309,0.2448555054484799,3.056579792696171,0.002265295564622294,***,2243,0.16002272045549826
main_reduced_random,main,random,fertility,-0.1630254813402059,0.12625803111775424,-1.2912088038832206,0.19676493132149098,,2243,0.16002272045549826
main_reduced_random,main,random,lag_log_GDPpc2015,-1.1659304834535293,0.14136611690416834,-8.247595031869695,2.220446049250313e-16,***,2243,0.16002272045549826
main_reduced_random,main,random,gov_exp_reduced,-0.20786799787274204,0.02693863007411151,-7.716353701018627,1.7985612998927536e-14,***,2243,0.16002272045549826
main_reduced_random,main,random,inflation,-0.00687059945776485,0.008543924248769194,-0.8041503245718269,0.42139576312645044,,2243,0.16002272045549826
main_reduced_random,main,random,investment,0.15643402952200577,0.013930972504402825,11.22922534464593,0.0,***,2243,0.16002272045549826
main_reduced_random,main,random,tot_growth,-0.002801318447734808,0.025397503006963407,-0.1102989710038326,0.9121821850067873,,2243,0.16002272045549826
main_reduced_random,main,random,trade,0.017750812179963542,0.0026382271889373848,6.728310683172493,2.1740387268209815e-11,***,2243,0.16002272045549826
main_reduced_random,main,random,tot_growth_x_trade,0.000753858245717086,0.00033487913294042365,2.251135324849281,0.024473848123055086,**,2243,0.16002272045549826
